Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
A01,SYBR,CmACS,Unkn,G.15.A,,34.8142250000000,34.8142250000000,0,NaN,NaN,NaN,0,55.3,
A02,SYBR,CmACS,Unkn,G.30.B,,25.1540440000000,25.1540440000000,0,NaN,NaN,NaN,0,55.3,
A03,SYBR,CmACS,Unkn,G.M.C,,24.5608680000000,24.5608680000000,0,NaN,NaN,NaN,0,55.3,
A04,SYBR,CmACO,Unkn,G.30.A,,22.0257850000000,22.0257850000000,0,NaN,NaN,NaN,0,55.3,
A05,SYBR,CmACO,Unkn,G.M.B,,21.3058520000000,21.3058520000000,0,NaN,NaN,NaN,0,55.3,
A06,SYBR,CmATH,Unkn,G.15.C,,30.1943990000000,30.1943990000000,0,NaN,NaN,NaN,0,55.3,
A07,SYBR,CmATH,Unkn,G.M.A,,26.5234610000000,26.5234610000000,0,NaN,NaN,NaN,0,55.3,
A08,SYBR,CmEREBP,Unkn,G.15.B,,25.6250060000000,25.6250060000000,0,NaN,NaN,NaN,0,55.3,
A09,SYBR,CmEREBP,Unkn,G.30.C,,21.1415140000000,21.1415140000000,0,NaN,NaN,NaN,0,55.3,
A10,SYBR,CmCYP,Unkn,G.15.A,,23.3229600000000,23.3229600000000,0,NaN,NaN,NaN,0,55.3,
A11,SYBR,CmCYP,Unkn,G.30.B,,22.2104100000000,22.2104100000000,0,NaN,NaN,NaN,0,55.3,
A12,SYBR,CmCYP,Unkn,G.M.C,,22.6841460000000,22.6841460000000,0,NaN,NaN,NaN,0,55.3,
B01,SYBR,CmACS,Unkn,G.15.A,,34.5223340000000,34.5223340000000,0,NaN,NaN,NaN,0,55.3,
B02,SYBR,CmACS,Unkn,G.30.B,,25.0692300000000,25.0692300000000,0,NaN,NaN,NaN,0,55.3,
B03,SYBR,CmACS,Unkn,G.M.C,,24.5706750000000,24.5706750000000,0,NaN,NaN,NaN,0,55.3,
B04,SYBR,CmACO,Unkn,G.30.A,,21.947550000000,21.947550000000,0,NaN,NaN,NaN,0,55.3,
B05,SYBR,CmACO,Unkn,G.M.B,,21.4088650000000,21.4088650000000,0,NaN,NaN,NaN,0,55.3,
B06,SYBR,CmATH,Unkn,G.15.C,,30.2289340000000,30.2289340000000,0,NaN,NaN,NaN,0,55.3,
B07,SYBR,CmATH,Unkn,G.M.A,,26.3641830000000,26.3641830000000,0,NaN,NaN,NaN,0,55.3,
B08,SYBR,CmEREBP,Unkn,G.15.B,,25.4904790000000,25.4904790000000,0,NaN,NaN,NaN,0,55.3,
B09,SYBR,CmEREBP,Unkn,G.30.C,,21.2714170000000,21.2714170000000,0,NaN,NaN,NaN,0,55.3,
B10,SYBR,CmCYP,Unkn,G.15.A,,23.040490000000,23.040490000000,0,NaN,NaN,NaN,0,55.3,
B11,SYBR,CmCYP,Unkn,G.30.B,,21.8776040000000,21.8776040000000,0,NaN,NaN,NaN,0,55.3,
B12,SYBR,CmCYP,Unkn,G.M.C,,22.8751910000000,22.8751910000000,0,NaN,NaN,NaN,0,55.3,
C01,SYBR,CmACS,Unkn,G.15.B,,36.4563110000000,36.4563110000000,0,NaN,NaN,NaN,0,55.3,
C02,SYBR,CmACS,Unkn,G.30.C,,27.7728980000000,27.7728980000000,0,NaN,NaN,NaN,0,55.3,
C03,SYBR,CmACO,Unkn,G.15.A,,25.8455570000000,25.8455570000000,0,NaN,NaN,NaN,0,55.3,
C04,SYBR,CmACO,Unkn,G.30.B,,23.111570000000,23.111570000000,0,NaN,NaN,NaN,0,55.3,
C05,SYBR,CmACO,Unkn,G.M.C,,22.2443280000000,22.2443280000000,0,NaN,NaN,NaN,0,55.3,
C06,SYBR,CmATH,Unkn,G.30.A,,25.2105940000000,25.2105940000000,0,NaN,NaN,NaN,0,55.3,
C07,SYBR,CmATH,Unkn,G.M.B,,25.2935080000000,25.2935080000000,0,NaN,NaN,NaN,0,55.3,
C08,SYBR,CmEREBP,Unkn,G.15.C,,25.7926400000000,25.7926400000000,0,NaN,NaN,NaN,0,55.3,
C09,SYBR,CmEREBP,Unkn,G.M.A,,20.2028550000000,20.2028550000000,0,NaN,NaN,NaN,0,55.3,
C10,SYBR,CmCYP,Unkn,G.15.B,,24.3198480000000,24.3198480000000,0,NaN,NaN,NaN,0,55.3,
C11,SYBR,CmCYP,Unkn,G.30.C,,21.5956440000000,21.5956440000000,0,NaN,NaN,NaN,0,55.3,
C12,SYBR,CmACS,NTC,,,NaN,NaN,0,NaN,NaN,NaN,0,55.3,
D01,SYBR,CmACS,Unkn,G.15.B,,37.4300670000000,37.4300670000000,0,NaN,NaN,NaN,0,55.3,
D02,SYBR,CmACS,Unkn,G.30.C,,27.7004580000000,27.7004580000000,0,NaN,NaN,NaN,0,55.3,
D03,SYBR,CmACO,Unkn,G.15.A,,25.8669080000000,25.8669080000000,0,NaN,NaN,NaN,0,55.3,
D04,SYBR,CmACO,Unkn,G.30.B,,23.2380100000000,23.2380100000000,0,NaN,NaN,NaN,0,55.3,
D05,SYBR,CmACO,Unkn,G.M.C,,22.3529150000000,22.3529150000000,0,NaN,NaN,NaN,0,55.3,
D06,SYBR,CmATH,Unkn,G.30.A,,25.4505910000000,25.4505910000000,0,NaN,NaN,NaN,0,55.3,
D07,SYBR,CmATH,Unkn,G.M.B,,25.4837260000000,25.4837260000000,0,NaN,NaN,NaN,0,55.3,
D08,SYBR,CmEREBP,Unkn,G.15.C,,25.7045530000000,25.7045530000000,0,NaN,NaN,NaN,0,55.3,
D09,SYBR,CmEREBP,Unkn,G.M.A,,20.1061080000000,20.1061080000000,0,NaN,NaN,NaN,0,55.3,
D10,SYBR,CmCYP,Unkn,G.15.B,,24.3890630000000,24.3890630000000,0,NaN,NaN,NaN,0,55.3,
D11,SYBR,CmCYP,Unkn,G.30.C,,21.5866820000000,21.5866820000000,0,NaN,NaN,NaN,0,55.3,
D12,SYBR,CmACO,NTC,,,NaN,NaN,0,NaN,NaN,NaN,0,55.3,
E01,SYBR,CmACS,Unkn,G.15.C,,34.2678800000000,34.2678800000000,0,NaN,NaN,NaN,0,55.3,
E02,SYBR,CmACS,Unkn,G.M.A,,23.7776950000000,23.7776950000000,0,NaN,NaN,NaN,0,55.3,
E03,SYBR,CmACO,Unkn,G.15.B,,27.1664390000000,27.1664390000000,0,NaN,NaN,NaN,0,55.3,
E04,SYBR,CmACO,Unkn,G.30.C,,21.225797000000,21.225797000000,0,NaN,NaN,NaN,0,55.3,
E05,SYBR,CmATH,Unkn,G.15.A,,29.1656390000000,29.1656390000000,0,NaN,NaN,NaN,0,55.3,
E06,SYBR,CmATH,Unkn,G.30.B,,26.5921560000000,26.5921560000000,0,NaN,NaN,NaN,0,55.3,
E07,SYBR,CmATH,Unkn,G.M.C,,25.9623220000000,25.9623220000000,0,NaN,NaN,NaN,0,55.3,
E08,SYBR,CmEREBP,Unkn,G.30.A,,21.8683250000000,21.8683250000000,0,NaN,NaN,NaN,0,55.3,
E09,SYBR,CmEREBP,Unkn,G.M.B,,20.407471000000,20.407471000000,0,NaN,NaN,NaN,0,55.3,
E10,SYBR,CmCYP,Unkn,G.15.C,,23.1456290000000,23.1456290000000,0,NaN,NaN,NaN,0,55.3,
E11,SYBR,CmCYP,Unkn,G.M.A,,22.1490280000000,22.1490280000000,0,NaN,NaN,NaN,0,55.3,
E12,SYBR,CmATH,NTC,,,NaN,NaN,0,NaN,NaN,NaN,0,55.3,
F01,SYBR,CmACS,Unkn,G.15.C,,34.9221790000000,34.9221790000000,0,NaN,NaN,NaN,0,55.3,
F02,SYBR,CmACS,Unkn,G.M.A,,23.8294220000000,23.8294220000000,0,NaN,NaN,NaN,0,55.3,
F03,SYBR,CmACO,Unkn,G.15.B,,27.15904500000,27.15904500000,0,NaN,NaN,NaN,0,55.3,
F04,SYBR,CmACO,Unkn,G.30.C,,21.2023030000000,21.2023030000000,0,NaN,NaN,NaN,0,55.3,
F05,SYBR,CmATH,Unkn,G.15.A,,29.2653740000000,29.2653740000000,0,NaN,NaN,NaN,0,55.3,
F06,SYBR,CmATH,Unkn,G.30.B,,26.6369000000000,26.6369000000000,0,NaN,NaN,NaN,0,55.3,
F07,SYBR,CmATH,Unkn,G.M.C,,26.0585350000000,26.0585350000000,0,NaN,NaN,NaN,0,55.3,
F08,SYBR,CmEREBP,Unkn,G.30.A,,21.6711730000000,21.6711730000000,0,NaN,NaN,NaN,0,55.3,
F09,SYBR,CmEREBP,Unkn,G.M.B,,20.3429960000000,20.3429960000000,0,NaN,NaN,NaN,0,55.3,
F10,SYBR,CmCYP,Unkn,G.15.C,,22.687989000000,22.687989000000,0,NaN,NaN,NaN,0,55.3,
F11,SYBR,CmCYP,Unkn,G.M.A,,22.0861270000000,22.0861270000000,0,NaN,NaN,NaN,0,55.3,
F12,SYBR,CmATH,NTC,,,NaN,NaN,0,NaN,NaN,NaN,0,55.3,
G01,SYBR,CmACS,Unkn,G.30.A,,24.8923900000000,24.8923900000000,0,NaN,NaN,NaN,0,55.3,
G02,SYBR,CmACS,Unkn,G.M.B,,25.0640790000000,25.0640790000000,0,NaN,NaN,NaN,0,55.3,
G03,SYBR,CmACO,Unkn,G.15.C,,26.0799760000000,26.0799760000000,0,NaN,NaN,NaN,0,55.3,
G04,SYBR,CmACO,Unkn,G.M.A,,21.9154570000000,21.9154570000000,0,NaN,NaN,NaN,0,55.3,
G05,SYBR,CmATH,Unkn,G.15.B,,30.1427920000000,30.1427920000000,0,NaN,NaN,NaN,0,55.3,
G06,SYBR,CmATH,Unkn,G.30.C,,24.6418420000,24.6418420000,0,NaN,NaN,NaN,0,55.3,
G07,SYBR,CmEREBP,Unkn,G.15.A,,25.6712500000000,25.6712500000000,0,NaN,NaN,NaN,0,55.3,
G08,SYBR,CmEREBP,Unkn,G.30.B,,21.7485190000000,21.7485190000000,0,NaN,NaN,NaN,0,55.3,
G09,SYBR,CmEREBP,Unkn,G.M.C,,20.1618130000000,20.1618130000000,0,NaN,NaN,NaN,0,55.3,
G10,SYBR,CmCYP,Unkn,G.30.A,,21.1688940000000,21.1688940000000,0,NaN,NaN,NaN,0,55.3,
G11,SYBR,CmCYP,Unkn,G.M.B,,22.4529390000000,22.4529390000000,0,NaN,NaN,NaN,0,55.3,
G12,SYBR,CmEREBP,NTC,,,NaN,NaN,0,NaN,NaN,NaN,0,55.3,
H01,SYBR,CmACS,Unkn,G.30.A,,24.8223380000000,24.8223380000000,0,NaN,NaN,NaN,0,55.3,
H02,SYBR,CmACS,Unkn,G.M.B,,25.0776880000000,25.0776880000000,0,NaN,NaN,NaN,0,55.3,
H03,SYBR,CmACO,Unkn,G.15.C,,26.2274300000000,26.2274300000000,0,NaN,NaN,NaN,0,55.3,
H04,SYBR,CmACO,Unkn,G.M.A,,22.2676670000000,22.2676670000000,0,NaN,NaN,NaN,0,55.3,
H05,SYBR,CmATH,Unkn,G.15.B,,30.1430600000000,30.1430600000000,0,NaN,NaN,NaN,0,55.3,
H06,SYBR,CmATH,Unkn,G.30.C,,24.5869580000000,24.5869580000000,0,NaN,NaN,NaN,0,55.3,
H07,SYBR,CmEREBP,Unkn,G.15.A,,25.4712970000000,25.4712970000000,0,NaN,NaN,NaN,0,55.3,
H08,SYBR,CmEREBP,Unkn,G.30.B,,21.5972320000000,21.5972320000000,0,NaN,NaN,NaN,0,55.3,
H09,SYBR,CmEREBP,Unkn,G.M.C,,20.3363690000000,20.3363690000000,0,NaN,NaN,NaN,0,55.3,
H10,SYBR,CmCYP,Unkn,G.30.A,,20.9899500000000,20.9899500000000,0,NaN,NaN,NaN,0,55.3,
H11,SYBR,CmCYP,Unkn,G.M.B,,22.283718000000,22.283718000000,0,NaN,NaN,NaN,0,55.3,
H12,SYBR,CmCYP,NTC,,,NaN,NaN,0,NaN,NaN,NaN,0,55.3
