Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
A01,SYBR,CmACS,Unkn,K.15.A,,26.2847980000000,26.2847980000000,0,NaN,NaN,NaN,0,55.3,
A02,SYBR,CmACS,Unkn,K.30.B,,26.3593550000000,26.3593550000000,0,NaN,NaN,NaN,0,55.3,
A03,SYBR,CmACS,Unkn,K.M.C,,26.8496080000000,26.8496080000000,0,NaN,NaN,NaN,0,55.3,
A04,SYBR,CmACO,Unkn,K.30.A,,21.0922410000000,21.0922410000000,0,NaN,NaN,NaN,0,55.3,
A05,SYBR,CmACO,Unkn,K.M.B,,27.5988050000000,27.5988050000000,0,NaN,NaN,NaN,0,55.3,
A06,SYBR,CmATH,Unkn,K.15.C,,29.7716590000000,29.7716590000000,0,NaN,NaN,NaN,0,55.3,
A07,SYBR,CmATH,Unkn,K.M.A,,28.3184550000000,28.3184550000000,0,NaN,NaN,NaN,0,55.3,
A08,SYBR,CmEREBP,Unkn,K.15.B,,23.3239050000000,23.3239050000000,0,NaN,NaN,NaN,0,55.3,
A09,SYBR,CmEREBP,Unkn,K.30.C,,20.302876000000,20.302876000000,0,NaN,NaN,NaN,0,55.3,
A10,SYBR,CmCYP,Unkn,K.15.A,,20.0842150000000,20.0842150000000,0,NaN,NaN,NaN,0,55.3,
A11,SYBR,CmCYP,Unkn,K.30.B,,22.674593000000,22.674593000000,0,NaN,NaN,NaN,0,55.3,
A12,SYBR,CmCYP,Unkn,K.M.C,,22.8627270000000,22.8627270000000,0,NaN,NaN,NaN,0,55.3,
B01,SYBR,CmACS,Unkn,K.15.A,,26.7992650000000,26.7992650000000,0,NaN,NaN,NaN,0,55.3,
B02,SYBR,CmACS,Unkn,K.30.B,,26.5548120000000,26.5548120000000,0,NaN,NaN,NaN,0,55.3,
B03,SYBR,CmACS,Unkn,K.M.C,,26.5772940000000,26.5772940000000,0,NaN,NaN,NaN,0,55.3,
B04,SYBR,CmACO,Unkn,K.30.A,,21.3881300000000,21.3881300000000,0,NaN,NaN,NaN,0,55.3,
B05,SYBR,CmACO,Unkn,K.M.B,,27.4818220000000,27.4818220000000,0,NaN,NaN,NaN,0,55.3,
