Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
A01,SYBR,CmACS,Unkn,M.15.A,,36.1886070000000,36.1886070000000,0,NaN,NaN,NaN,0,55.3,
A02,SYBR,CmACS,Unkn,M.30.B,,29.1648700000000,29.1648700000000,0,NaN,NaN,NaN,0,55.3,
A03,SYBR,CmACS,Unkn,M.M.C,,21.3386820000000,21.3386820000000,0,NaN,NaN,NaN,0,55.3,
A04,SYBR,CmACO1,Unkn,M.30.A,,23.1113680000000,23.1113680000000,0,NaN,NaN,NaN,0,55.3,
A05,SYBR,CmACO1,Unkn,M.M.B,,17.9186680000000,17.9186680000000,0,NaN,NaN,NaN,0,55.3,
A06,SYBR,CmATH,Unkn,M.15.C,,29.5512510000000,29.5512510000000,0,NaN,NaN,NaN,0,55.3,
A07,SYBR,CmATH,Unkn,M.M.A,,23.5666010000000,23.5666010000000,0,NaN,NaN,NaN,0,55.3,
A08,SYBR,CmEREBP,Unkn,M.15.B,,25.8807690000000,25.8807690000000,0,NaN,NaN,NaN,0,55.3,
A09,SYBR,CmEREBP,Unkn,M.30.C,,22.1618130000000,22.1618130000000,0,NaN,NaN,NaN,0,55.3,
A10,SYBR,CmCYP,Unkn,M.15.A,,22.5819620000000,22.5819620000000,0,NaN,NaN,NaN,0,55.3,
A11,SYBR,CmCYP,Unkn,M.30.B,,19.9332810000000,19.9332810000000,0,NaN,NaN,NaN,0,55.3,
A12,SYBR,CmCYP,Unkn,M.M.C,,21.8014430000000,21.8014430000000,0,NaN,NaN,NaN,0,55.3,
B01,SYBR,CmACS,Unkn,M.15.A,,36.1886070000000,36.1886070000000,0,NaN,NaN,NaN,0,55.3,
B02,SYBR,CmACS,Unkn,M.30.B,,29.2674890000000,29.2674890000000,0,NaN,NaN,NaN,0,55.3,
B03,SYBR,CmACS,Unkn,M.M.C,,21.3843780000000,21.3843780000000,0,NaN,NaN,NaN,0,55.3,
B04,SYBR,CmACO1,Unkn,M.30.A,,22.869076000000,22.869076000000,0,NaN,NaN,NaN,0,55.3,
B05,SYBR,CmACO1,Unkn,M.M.B,,18.03233400000,18.03233400000,0,NaN,NaN,NaN,0,55.3,
B06,SYBR,CmATH,Unkn,M.15.C,,29.2043270000000,29.2043270000000,0,NaN,NaN,NaN,0,55.3,
B07,SYBR,CmATH,Unkn,M.M.A,,23.6219900000000,23.6219900000000,0,NaN,NaN,NaN,0,55.3,
B08,SYBR,CmEREBP,Unkn,M.15.B,,26.0878690000000,26.0878690000000,0,NaN,NaN,NaN,0,55.3,
B09,SYBR,CmEREBP,Unkn,M.30.C,,22.3220920000000,22.3220920000000,0,NaN,NaN,NaN,0,55.3,
B10,SYBR,CmCYP,Unkn,M.15.A,,22.8147870000000,22.8147870000000,0,NaN,NaN,NaN,0,55.3,
B11,SYBR,CmCYP,Unkn,M.30.B,,20.1159130000000,20.1159130000000,0,NaN,NaN,NaN,0,55.3,
B12,SYBR,CmCYP,Unkn,M.M.C,,21.8986730000000,21.8986730000000,0,NaN,NaN,NaN,0,55.3,
C01,SYBR,CmACS,Unkn,M.15.B,,36.3984210000000,36.3984210000000,0,NaN,NaN,NaN,0,55.3,
C02,SYBR,CmACS,Unkn,M.30.C,,28.4689840000000,28.4689840000000,0,NaN,NaN,NaN,0,55.3,
C03,SYBR,CmACO1,Unkn,M.15.A,,27.0473180000000,27.0473180000000,0,NaN,NaN,NaN,0,55.3,
C04,SYBR,CmACO1,Unkn,M.30.B,,21.6303130000000,21.6303130000000,0,NaN,NaN,NaN,0,55.3,
C05,SYBR,CmACO1,Unkn,M.M.C,,22.0111500000000,22.0111500000000,0,NaN,NaN,NaN,0,55.3,
C06,SYBR,CmATH,Unkn,M.30.A,,24.901993000000,24.901993000000,0,NaN,NaN,NaN,0,55.3,
C07,SYBR,CmATH,Unkn,M.M.B,,23.4802550000000,23.4802550000000,0,NaN,NaN,NaN,0,55.3,
C08,SYBR,CmEREBP,Unkn,M.15.C,,28.2183800000000,28.2183800000000,0,NaN,NaN,NaN,0,55.3,
C09,SYBR,CmEREBP,Unkn,M.M.A,,20.8965150000000,20.8965150000000,0,NaN,NaN,NaN,0,55.3,
C10,SYBR,CmCYP,Unkn,M.15.B,,22.3475330000000,22.3475330000000,0,NaN,NaN,NaN,0,55.3,
C11,SYBR,CmCYP,Unkn,M.30.C,,19.8302600000000,19.8302600000000,0,NaN,NaN,NaN,0,55.3,
