Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
A01,SYBR,CmACS,Unkn,T.15.A,,30.2887050000000,30.2887050000000,0,NaN,NaN,NaN,0,55.3,
A02,SYBR,CmACS,Unkn,T.30.B,,30.5778920000000,30.5778920000000,0,NaN,NaN,NaN,0,55.3,
A03,SYBR,CmACS,Unkn,T.M.C,,28.3046740000000,28.3046740000000,0,NaN,NaN,NaN,0,55.3,
A04,SYBR,CmACO1,Unkn,T.30.A,,25.8448470000000,25.8448470000000,0,NaN,NaN,NaN,0,55.3,
A05,SYBR,CmACO1,Unkn,T.M.B,,25.0544710000000,25.0544710000000,0,NaN,NaN,NaN,0,55.3,
A06,SYBR,CmATH,Unkn,T.15.C,,23.4786720000000,23.4786720000000,0,NaN,NaN,NaN,0,55.3,
A07,SYBR,CmATH,Unkn,T.M.A,,26.6674510000000,26.6674510000000,0,NaN,NaN,NaN,0,55.3,
A08,SYBR,CmEREBP,Unkn,T.15.B,,24.8780240000000,24.8780240000000,0,NaN,NaN,NaN,0,55.3,
A09,SYBR,CmEREBP,Unkn,T.30.C,,25.7157140000000,25.7157140000000,0,NaN,NaN,NaN,0,55.3,
A10,SYBR,CmCYP,Unkn,T.15.A,,22.6097050000000,22.6097050000000,0,NaN,NaN,NaN,0,55.3,
A11,SYBR,CmCYP,Unkn,T.30.B,,24.3656240000000,24.3656240000000,0,NaN,NaN,NaN,0,55.3,
A12,SYBR,CmCYP,Unkn,T.M.C,,22.752780000000,22.752780000000,0,NaN,NaN,NaN,0,55.3,
B01,SYBR,CmACS,Unkn,T.15.A,,30.2887050000000,30.2887050000000,0,NaN,NaN,NaN,0,55.3,
B02,SYBR,CmACS,Unkn,T.30.B,,30.8935870000000,30.8935870000000,0,NaN,NaN,NaN,0,55.3,
B03,SYBR,CmACS,Unkn,T.M.C,,27.9658250000000,27.9658250000000,0,NaN,NaN,NaN,0,55.3,
B04,SYBR,CmACO1,Unkn,T.30.A,,25.7995510000000,25.7995510000000,0,NaN,NaN,NaN,0,55.3,
B05,SYBR,CmACO1,Unkn,T.M.B,,25.1170250000000,25.1170250000000,0,NaN,NaN,NaN,0,55.3,
B06,SYBR,CmATH,Unkn,T.15.C,,23.592183000000,23.592183000000,0,NaN,NaN,NaN,0,55.3,
B07,SYBR,CmATH,Unkn,T.M.A,,26.4758340000000,26.4758340000000,0,NaN,NaN,NaN,0,55.3,
B08,SYBR,CmEREBP,Unkn,T.15.B,,25.1122080000000,25.1122080000000,0,NaN,NaN,NaN,0,55.3,
B09,SYBR,CmEREBP,Unkn,T.30.C,,26.0336500000000,26.0336500000000,0,NaN,NaN,NaN,0,55.3,
B10,SYBR,CmCYP,Unkn,T.15.A,,22.3818570000000,22.3818570000000,0,NaN,NaN,NaN,0,55.3,
B11,SYBR,CmCYP,Unkn,T.30.B,,24.0637530000000,24.0637530000000,0,NaN,NaN,NaN,0,55.3,
B12,SYBR,CmCYP,Unkn,T.M.C,,22.8519050000000,22.8519050000000,0,NaN,NaN,NaN,0,55.3,
C01,SYBR,CmACS,Unkn,T.15.B,,30.4300710000000,30.4300710000000,0,NaN,NaN,NaN,0,55.3,
C02,SYBR,CmACS,Unkn,T.30.C,,30.913853000000,30.913853000000,0,NaN,NaN,NaN,0,55.3,
C03,SYBR,CmACO1,Unkn,T.15.A,,27.1994680000000,27.1994680000000,0,NaN,NaN,NaN,0,55.3,
C04,SYBR,CmACO1,Unkn,T.30.B,,27.0690820000000,27.0690820000000,0,NaN,NaN,NaN,0,55.3,
C05,SYBR,CmACO1,Unkn,T.M.C,,24.5859300000000,24.5859300000000,0,NaN,NaN,NaN,0,55.3,
C06,SYBR,CmATH,Unkn,T.30.A,,27.584448000000,27.584448000000,0,NaN,NaN,NaN,0,55.3,
C07,SYBR,CmATH,Unkn,T.M.B,,26.3068020000000,26.3068020000000,0,NaN,NaN,NaN,0,55.3,
C08,SYBR,CmEREBP,Unkn,T.15.C,,25.1090220000000,25.1090220000000,0,NaN,NaN,NaN,0,55.3,
C09,SYBR,CmEREBP,Unkn,T.M.A,,24.8911490000000,24.8911490000000,0,NaN,NaN,NaN,0,55.3,
C10,SYBR,CmCYP,Unkn,T.15.B,,21.3158220000000,21.3158220000000,0,NaN,NaN,NaN,0,55.3,
C11,SYBR,CmCYP,Unkn,T.30.C,,24.1567490000000,24.1567490000000,0,NaN,NaN,NaN,0,55.3,
C12,SYBR,CmACS,NTC,,,NaN,NaN,0,NaN,NaN,NaN,0,55.3,
D01,SYBR,CmACS,Unkn,T.15.B,,30.5236290000000,30.5236290000000,0,NaN,NaN,NaN,0,55.3,
D02,SYBR,CmACS,Unkn,T.30.C,,30.2998980000000,30.2998980000000,0,NaN,NaN,NaN,0,55.3,
D03,SYBR,CmACO1,Unkn,T.15.A,,27.0903930000000,27.0903930000000,0,NaN,NaN,NaN,0,55.3,
D04,SYBR,CmACO1,Unkn,T.30.B,,27.0366530000000,27.0366530000000,0,NaN,NaN,NaN,0,55.3,
D05,SYBR,CmACO1,Unkn,T.M.C,,24.2402850000000,24.2402850000000,0,NaN,NaN,NaN,0,55.3,
D06,SYBR,CmATH,Unkn,T.30.A,,27.7824800000000,27.7824800000000,0,NaN,NaN,NaN,0,55.3,
D07,SYBR,CmATH,Unkn,T.M.B,,26.2385690000000,26.2385690000000,0,NaN,NaN,NaN,0,55.3,
D08,SYBR,CmEREBP,Unkn,T.15.C,,24.9296460000000,24.9296460000000,0,NaN,NaN,NaN,0,55.3,
D09,SYBR,CmEREBP,Unkn,T.M.A,,24.8857710000000,24.8857710000000,0,NaN,NaN,NaN,0,55.3,
D10,SYBR,CmCYP,Unkn,T.15.B,,21.4150040000000,21.4150040000000,0,NaN,NaN,NaN,0,55.3,
D11,SYBR,CmCYP,Unkn,T.30.C,,24.0140080000000,24.0140080000000,0,NaN,NaN,NaN,0,55.3,
D12,SYBR,CmACO1,NTC,,,NaN,NaN,0,NaN,NaN,NaN,0,55.3,
E01,SYBR,CmACS,Unkn,T.15.C,,30.9146860000000,30.9146860000000,0,NaN,NaN,NaN,0,55.3,
E02,SYBR,CmACS,Unkn,T.M.A,,30.6267710000000,30.6267710000000,0,NaN,NaN,NaN,0,55.3,
E03,SYBR,CmACO1,Unkn,T.15.B,,24.4879180000000,24.4879180000000,0,NaN,NaN,NaN,0,55.3,
E04,SYBR,CmACO1,Unkn,T.30.C,,28.1947800000000,28.1947800000000,0,NaN,NaN,NaN,0,55.3,
E05,SYBR,CmATH,Unkn,T.15.A,,30.1846650000000,30.1846650000000,0,NaN,NaN,NaN,0,55.3,
E06,SYBR,CmATH,Unkn,T.30.B,,28.0333560000000,28.0333560000000,0,NaN,NaN,NaN,0,55.3,
E07,SYBR,CmATH,Unkn,T.M.C,,25.9031320000000,25.9031320000000,0,NaN,NaN,NaN,0,55.3,
E08,SYBR,CmEREBP,Unkn,T.30.A,,24.6867030000000,24.6867030000000,0,NaN,NaN,NaN,0,55.3,
E09,SYBR,CmEREBP,Unkn,T.M.B,,22.8437640000000,22.8437640000000,0,NaN,NaN,NaN,0,55.3,
E10,SYBR,CmCYP,Unkn,T.15.C,,21.241014000000,21.241014000000,0,NaN,NaN,NaN,0,55.3,
E11,SYBR,CmCYP,Unkn,T.M.A,,23.992321000000,23.992321000000,0,NaN,NaN,NaN,0,55.3,
E12,SYBR,CmATH,NTC,,,NaN,NaN,0,NaN,NaN,NaN,0,55.3,
F01,SYBR,CmACS,Unkn,T.15.C,,31.0286390000000,31.0286390000000,0,NaN,NaN,NaN,0,55.3,
F02,SYBR,CmACS,Unkn,T.M.A,,30.6013640000000,30.6013640000000,0,NaN,NaN,NaN,0,55.3,
F03,SYBR,CmACO1,Unkn,T.15.B,,24.5256840000000,24.5256840000000,0,NaN,NaN,NaN,0,55.3,
F04,SYBR,CmACO1,Unkn,T.30.C,,28.1459870000000,28.1459870000000,0,NaN,NaN,NaN,0,55.3,
F05,SYBR,CmATH,Unkn,T.15.A,,30.2858010000000,30.2858010000000,0,NaN,NaN,NaN,0,55.3,
F06,SYBR,CmATH,Unkn,T.30.B,,28.1287980000000,28.1287980000000,0,NaN,NaN,NaN,0,55.3,
F07,SYBR,CmATH,Unkn,T.M.C,,25.9031540000000,25.9031540000000,0,NaN,NaN,NaN,0,55.3,
F08,SYBR,CmEREBP,Unkn,T.30.A,,24.6142850000000,24.6142850000000,0,NaN,NaN,NaN,0,55.3,
F09,SYBR,CmEREBP,Unkn,T.M.B,,22.7893690000000,22.7893690000000,0,NaN,NaN,NaN,0,55.3,
F10,SYBR,CmCYP,Unkn,T.15.C,,21.3029890000000,21.3029890000000,0,NaN,NaN,NaN,0,55.3,
F11,SYBR,CmCYP,Unkn,T.M.A,,24.1706650000000,24.1706650000000,0,NaN,NaN,NaN,0,55.3,
F12,SYBR,CmEREBP,NTC,,,NaN,NaN,0,NaN,NaN,NaN,0,55.3,
G01,SYBR,CmACS,Unkn,T.30.A,,30.2846190000000,30.2846190000000,0,NaN,NaN,NaN,0,55.3,
G02,SYBR,CmACS,Unkn,T.M.B,,30.2033960000000,30.2033960000000,0,NaN,NaN,NaN,0,55.3,
G03,SYBR,CmACO1,Unkn,T.15.C,,24.490775000000,24.490775000000,0,NaN,NaN,NaN,0,55.3,
G04,SYBR,CmACO1,Unkn,T.M.A,,27.6023910000000,27.6023910000000,0,NaN,NaN,NaN,0,55.3,
G05,SYBR,CmATH,Unkn,T.15.B,,23.6701660000000,23.6701660000000,0,NaN,NaN,NaN,0,55.3,
G06,SYBR,CmATH,Unkn,T.30.C,,27.3883370000000,27.3883370000000,0,NaN,NaN,NaN,0,55.3,
G07,SYBR,CmEREBP,Unkn,T.15.A,,24.8398570000000,24.8398570000000,0,NaN,NaN,NaN,0,55.3,
G08,SYBR,CmEREBP,Unkn,T.30.B,,25.0107090000000,25.0107090000000,0,NaN,NaN,NaN,0,55.3,
G09,SYBR,CmEREBP,Unkn,T.M.C,,24.3942190000000,24.3942190000000,0,NaN,NaN,NaN,0,55.3,
G10,SYBR,CmCYP,Unkn,T.30.A,,23.5172050000000,23.5172050000000,0,NaN,NaN,NaN,0,55.3,
G11,SYBR,CmCYP,Unkn,T.M.B,,23.2431580000000,23.2431580000000,0,NaN,NaN,NaN,0,55.3,
G12,SYBR,CmCYP,NTC,,,NaN,NaN,0,NaN,NaN,NaN,0,55.3,
H01,SYBR,CmACS,Unkn,T.30.A,,30.2846190000000,30.2846190000000,0,NaN,NaN,NaN,0,55.3,
H02,SYBR,CmACS,Unkn,T.M.B,,30.6826690000000,30.6826690000000,0,NaN,NaN,NaN,0,55.3,
H03,SYBR,CmACO1,Unkn,T.15.C,,24.4595240000000,24.4595240000000,0,NaN,NaN,NaN,0,55.3,
H04,SYBR,CmACO1,Unkn,T.M.A,,27.7107130000000,27.7107130000000,0,NaN,NaN,NaN,0,55.3,
H05,SYBR,CmATH,Unkn,T.15.B,,23.9494000000000,23.9494000000000,0,NaN,NaN,NaN,0,55.3,
H06,SYBR,CmATH,Unkn,T.30.C,,27.3030820000000,27.3030820000000,0,NaN,NaN,NaN,0,55.3,
H07,SYBR,CmEREBP,Unkn,T.15.A,,24.7018060000000,24.7018060000000,0,NaN,NaN,NaN,0,55.3,
H08,SYBR,CmEREBP,Unkn,T.30.B,,24.8831850000000,24.8831850000000,0,NaN,NaN,NaN,0,55.3,
H09,SYBR,CmEREBP,Unkn,T.M.C,,24.6679750000000,24.6679750000000,0,NaN,NaN,NaN,0,55.3,
H10,SYBR,CmCYP,Unkn,T.30.A,,23.6726610000000,23.6726610000000,0,NaN,NaN,NaN,0,55.3,
H11,SYBR,CmCYP,Unkn,T.M.B,,23.1868810000000,23.1868810000000,0,NaN,NaN,NaN,0,55.3,
H12,SYBR,CmCYP,NTC,,,NaN,NaN,0,NaN,NaN,NaN,0,55.3,



,,,,,,,,,,, 
