samples,fruit_weight,v_perimeter,h_perimeter,v_diameter,h_diameter,rind_thickness,flesh_thickness,ssc,firmness
M.15.A,378,30.5,25.699999999999999,11.1,8,0.10000000000000001,1.8999999999999999,5,36.75
M.15.B,409,31.5,27,11.4,8.5,0.1,1.7,6,36.310000000000002
M.15.C,387,30,27.5,10.4,8.9000000000000004,0.1000000000000000,1.8999999999999999,5,41.560000000000002
M.30.A,771,38.600000000000001,34.100000000000001,13.9,10.6,0.2,2.6000000000000001,6,33.43
M.30.B,797,39.5,33.899999999999999,14.699999999999999,10.699999999999999,0.200000000000000,2.7999999999999998,6,29.77
M.30.C,841,40.700000000000003,34.600000000000001,14.199999999999999,11.1,0.2,2.8999999999999999,6,30.350000000000001
M.M.A,1277,46.600000000000001,38.5,17.300000000000001,12.6,0.2,3.6000000000000001,12,33.939999999999998
M.M.B,1003,45.200000000000003,36.600000000000001,16.699999999999999,11.199999999999999,0.200000000000000,2.8999999999999999,11,34.189999999999998
M.M.C,914,41.600000000000001,35.899999999999999,14.699999999999999,10.6,0.2,2.6000000000000001,11,33.299999999999997
T.15.A,485,32.899999999999999,35.700000000000003,9.6999999999999993,10.6,0.1,3.1000000000000001,4.5,59.079999999999998
T.15.B,671,35,36,9.9000000000000004,11.4,0.1,3,5,57.280000000000001
T.15.C,579,31.100000000000001,31.899999999999999,9.8000000000000007,9.4000000000000004,0.1000000000000000,2.8999999999999999,5,59.619999999999997
T.30.A,793,36.200000000000003,38.200000000000003,10.5,12.1,0.1,3.8999999999999999,5,43.399999999999999
T.30.B,761,36.299999999999997,37.299999999999997,10.199999999999999,11.9,0.1,3.5,5,45.689999999999998
T.30.C,823,37.100000000000001,38.399999999999999,10.5,12.300000000000001,0.100000000000000,4,5,56.200000000000003
T.M.A,1748,48.100000000000001,49.600000000000001,13.300000000000001,15.300000000000001,0.200000000000000,4.2000000000000002,8,47.60
T.M.B,1628,47,49.5,12.800000000000001,15.199999999999999,0.200000000000000,3.8999999999999999,8,49.11
T.M.C,1204,42.299999999999997,44.5,12.300000000000001,14.1,0.2,3.8999999999999999,9,41.71
G.15.A,168,22,22.699999999999999,6.5999999999999996,7.0999999999999996,0.1000000000000000,1.3,4,33.009999999999998
G.15.B,166,22.100000000000001,22.5,6.7000000000000002,7,0.10000000000000001,1.2,3,26.329999999999998
G.15.C,153,21.699999999999999,21.699999999999999,6.5,6.7999999999999998,0.1000000000000000,1.1000000000000001,3,31.579999999999998
G.30.A,177,22.899999999999999,23.300000000000001,7.0999999999999996,7.2000000000000002,0.1000000000000000,1.3,6,27.18
G.30.B,169,21.899999999999999,22.600000000000001,6.7000000000000002,6.7999999999999998,0.1000000000000000,1.2,5,26.109999999999999
G.30.C,159,21.600000000000001,22.5,6.7000000000000002,7,0.10000000000000001,1.3,5,24.449999999999999
G.M.A,193,22.399999999999999,22.800000000000001,7.2000000000000002,7.5999999999999996,0.1000000000000000,1.6000000000000001,8,21.699999999999999
G.M.B,194,23.199999999999999,23.100000000000001,7.0999999999999996,7.2999999999999998,0.1000000000000000,1.5,8,22.780000000000001
G.M.C,167,22,22.300000000000001,6.5999999999999996,6.9000000000000004,0.1000000000000000,1.3999999999999999,7,25.219999999999999
K.15.A,503,32.700000000000003,29.699999999999999,10.9,9.4000000000000004,0.1000000000000000,2.6000000000000001,4,65.10
K.15.B,534,33.399999999999999,30.899999999999999,11,9.5999999999999996,0.1000000000000000,2.7000000000000002,4,66.05
K.15.C,720,37,34.5,12.5,10.800000000000001,0.100000000000000,3.1000000000000001,4,64.76
K.30.A,1078,41.700000000000003,41.299999999999997,12.800000000000001,12.9,0.5,4,9,51.96
K.30.B,1220,43.100000000000001,42.700000000000003,13.4,13.300000000000001,0.500000000000000,3.8999999999999999,9,52.59
K.30.C,1377,45.299999999999997,44.100000000000001,14.4,14.9,0.6,4.0999999999999996,9,51.27
K.M.A,1276,44,41.600000000000001,13.800000000000001,12.9,0.8,3.8999999999999999,11,41.81
K.M.B,1164,42,42.5,12.6,12.9,0.6,3.7000000000000002,10,41.06
K.M.C,1499,46.600000000000001,44.100000000000001,15.4,13.9,0.6,4.2000000000000002,9,46.43
