cultivar,well,target,content,sample,cultivar_code,stage,bio_rep,cq,set_point
gmp,A01,CmACS,Unkn,G.15.A,G,15,A,34.814225,55.3
gmp,A02,CmACS,Unkn,G.30.B,G,30,B,25.154044,55.3
gmp,A03,CmACS,Unkn,G.M.C,G,M,C,24.560868,55.3
gmp,A04,CmACO,Unkn,G.30.A,G,30,A,22.025785,55.3
gmp,A05,CmACO,Unkn,G.M.B,G,M,B,21.305852,55.3
gmp,A06,CmATH,Unkn,G.15.C,G,15,C,30.194399,55.3
gmp,A07,CmATH,Unkn,G.M.A,G,M,A,26.523461,55.3
gmp,A08,CmEREBP,Unkn,G.15.B,G,15,B,25.625006,55.3
gmp,A09,CmEREBP,Unkn,G.30.C,G,30,C,21.141514,55.3
gmp,A10,CmCYP,Unkn,G.15.A,G,15,A,23.32296,55.3
gmp,A11,CmCYP,Unkn,G.30.B,G,30,B,22.21041,55.3
gmp,A12,CmCYP,Unkn,G.M.C,G,M,C,22.684146,55.3
gmp,B01,CmACS,Unkn,G.15.A,G,15,A,34.522334,55.3
gmp,B02,CmACS,Unkn,G.30.B,G,30,B,25.06923,55.3
gmp,B03,CmACS,Unkn,G.M.C,G,M,C,24.570675,55.3
gmp,B04,CmACO,Unkn,G.30.A,G,30,A,21.94755,55.3
gmp,B05,CmACO,Unkn,G.M.B,G,M,B,21.408865,55.3
gmp,B06,CmATH,Unkn,G.15.C,G,15,C,30.228934,55.3
gmp,B07,CmATH,Unkn,G.M.A,G,M,A,26.364183,55.3
gmp,B08,CmEREBP,Unkn,G.15.B,G,15,B,25.490479,55.3
gmp,B09,CmEREBP,Unkn,G.30.C,G,30,C,21.271417,55.3
gmp,B10,CmCYP,Unkn,G.15.A,G,15,A,23.04049,55.3
gmp,B11,CmCYP,Unkn,G.30.B,G,30,B,21.877604,55.3
gmp,B12,CmCYP,Unkn,G.M.C,G,M,C,22.875191,55.3
gmp,C01,CmACS,Unkn,G.15.B,G,15,B,36.456311,55.3
gmp,C02,CmACS,Unkn,G.30.C,G,30,C,27.772898,55.3
gmp,C03,CmACO,Unkn,G.15.A,G,15,A,25.845557,55.3
gmp,C04,CmACO,Unkn,G.30.B,G,30,B,23.11157,55.3
gmp,C05,CmACO,Unkn,G.M.C,G,M,C,22.244328,55.3
gmp,C06,CmATH,Unkn,G.30.A,G,30,A,25.210594,55.3
gmp,C07,CmATH,Unkn,G.M.B,G,M,B,25.293508,55.3
gmp,C08,CmEREBP,Unkn,G.15.C,G,15,C,25.79264,55.3
gmp,C09,CmEREBP,Unkn,G.M.A,G,M,A,20.202855,55.3
gmp,C10,CmCYP,Unkn,G.15.B,G,15,B,24.319848,55.3
gmp,C11,CmCYP,Unkn,G.30.C,G,30,C,21.595644,55.3
gmp,C12,CmACS,NTC,NA,NA,NA,NA,NA,55.3
gmp,D01,CmACS,Unkn,G.15.B,G,15,B,37.430067,55.3
gmp,D02,CmACS,Unkn,G.30.C,G,30,C,27.700458,55.3
gmp,D03,CmACO,Unkn,G.15.A,G,15,A,25.866908,55.3
gmp,D04,CmACO,Unkn,G.30.B,G,30,B,23.23801,55.3
gmp,D05,CmACO,Unkn,G.M.C,G,M,C,22.352915,55.3
gmp,D06,CmATH,Unkn,G.30.A,G,30,A,25.450591,55.3
gmp,D07,CmATH,Unkn,G.M.B,G,M,B,25.483726,55.3
gmp,D08,CmEREBP,Unkn,G.15.C,G,15,C,25.704553,55.3
gmp,D09,CmEREBP,Unkn,G.M.A,G,M,A,20.106108,55.3
gmp,D10,CmCYP,Unkn,G.15.B,G,15,B,24.389063,55.3
gmp,D11,CmCYP,Unkn,G.30.C,G,30,C,21.586682,55.3
gmp,D12,CmACO,NTC,NA,NA,NA,NA,NA,55.3
gmp,E01,CmACS,Unkn,G.15.C,G,15,C,34.26788,55.3
gmp,E02,CmACS,Unkn,G.M.A,G,M,A,23.777695,55.3
gmp,E03,CmACO,Unkn,G.15.B,G,15,B,27.166439,55.3
gmp,E04,CmACO,Unkn,G.30.C,G,30,C,21.225797,55.3
gmp,E05,CmATH,Unkn,G.15.A,G,15,A,29.165639,55.3
gmp,E06,CmATH,Unkn,G.30.B,G,30,B,26.592156,55.3
gmp,E07,CmATH,Unkn,G.M.C,G,M,C,25.962322,55.3
gmp,E08,CmEREBP,Unkn,G.30.A,G,30,A,21.868325,55.3
gmp,E09,CmEREBP,Unkn,G.M.B,G,M,B,20.407471,55.3
gmp,E10,CmCYP,Unkn,G.15.C,G,15,C,23.145629,55.3
gmp,E11,CmCYP,Unkn,G.M.A,G,M,A,22.149028,55.3
gmp,E12,CmATH,NTC,NA,NA,NA,NA,NA,55.3
gmp,F01,CmACS,Unkn,G.15.C,G,15,C,34.922179,55.3
gmp,F02,CmACS,Unkn,G.M.A,G,M,A,23.829422,55.3
