cultivar,well,target,sample,cycle,rfu
gmp,A01,CmACS,G.15.A,1,-51.330419
gmp,A02,CmACS,G.30.B,1,-37.586539
gmp,A03,CmACS,G.M.C,1,-25.59945
gmp,A04,CmACO,G.30.A,1,-19.907036
gmp,A05,CmACO,G.M.B,1,-19.606476
gmp,A06,CmATH,G.15.C,1,-17.473383
gmp,A07,CmATH,G.M.A,1,-31.30573
gmp,A08,CmEREBP,G.15.B,1,-33.655164
gmp,A09,CmEREBP,G.30.C,1,-24.564071
gmp,A10,CmCYP,G.15.A,1,-27.69149
gmp,A11,CmCYP,G.30.B,1,-26.487826
gmp,A12,CmCYP,G.M.C,1,-35.458748
gmp,B01,CmACS,G.15.A,1,-16.450098
gmp,B02,CmACS,G.30.B,1,-14.393736
gmp,B03,CmACS,G.M.C,1,-19.826754
gmp,B04,CmACO,G.30.A,1,-19.637522
gmp,B05,CmACO,G.M.B,1,-22.190637
gmp,B06,CmATH,G.15.C,1,-20.880362
gmp,B07,CmATH,G.M.A,1,-19.477744
gmp,B08,CmEREBP,G.15.B,1,-30.207236
gmp,B09,CmEREBP,G.30.C,1,-20.625594
gmp,B10,CmCYP,G.15.A,1,-15.375478
gmp,B11,CmCYP,G.30.B,1,-22.791679
gmp,B12,CmCYP,G.M.C,1,-19.320391
gmp,C01,CmACS,G.15.B,1,-28.871154
gmp,C02,CmACS,G.30.C,1,-40.084161
gmp,C03,CmACO,G.15.A,1,-16.282869
gmp,C04,CmACO,G.30.B,1,-9.4204
gmp,C05,CmACO,G.M.C,1,-18.192508
gmp,C06,CmATH,G.30.A,1,-22.91387
gmp,C07,CmATH,G.M.B,1,-21.057218
gmp,C08,CmEREBP,G.15.C,1,-25.307913
gmp,C09,CmEREBP,G.M.A,1,-3.013264
gmp,C10,CmCYP,G.15.B,1,-11.157953
gmp,C11,CmCYP,G.30.C,1,-17.836184
gmp,C12,CmACS,NA,1,-14.126214
gmp,D01,CmACS,G.15.B,1,-9.265078
gmp,D02,CmACS,G.30.C,1,-18.071513
gmp,D03,CmACO,G.15.A,1,-10.199093
gmp,D04,CmACO,G.30.B,1,0.118583
gmp,D05,CmACO,G.M.C,1,-22.721861
