cultivar,stage,fruit_weight_mean,fruit_weight_sd,v_circumference_mean,v_circumference_sd,h_circumference_mean,h_circumference_sd,v_diameter_mean,v_diameter_sd,h_diameter_mean,h_diameter_sd,fruit_thickness_mean,fruit_thickness_sd,flesh_thickness_mean,flesh_thickness_sd,ssc_mean,ssc_sd,firmness_mean,firmness_sd
Melona,15 DAA,391.33,15.95,30.67,0.76,26.73,0.93,10.97,0.51,8.47,0.45,0.1,0,1.83,0.12,5.33,0.58,38.21,2.91
Melona,30 DAA,803,35.38,39.6,1.05,34.2,0.36,14.27,0.4,10.8,0.26,0.2,0,2.77,0.15,6,0,31.18,1.97
Melona,Mature,1064.67,189.19,44.47,2.58,37,1.35,16.23,1.36,11.47,1.03,0.2,0,3.03,0.51,11.33,0.58,33.81,0.46
GMP,15 DAA,162.33,8.14,21.93,0.21,22.3,0.53,6.6,0.1,6.97,0.15,0.1,0,1.2,0.1,3.33,0.58,30.31,3.52
GMP,30 DAA,168.33,9.02,22.13,0.68,22.8,0.44,6.83,0.23,7,0.2,0.1,0,1.27,0.06,5.33,0.58,25.91,1.38
GMP,Mature,184.67,15.31,22.53,0.61,22.73,0.4,6.97,0.32,7.27,0.35,0.1,0,1.5,0.1,7.67,0.58,23.23,1.8
Tacapa,15 DAA,578.33,93,33,1.95,34.53,2.29,9.8,0.1,10.47,1.01,0.1,0,3,0.1,4.83,0.29,58.66,1.23
Tacapa,30 DAA,792.33,31.01,36.53,0.49,37.97,0.59,10.4,0.17,12.1,0.2,0.1,0,3.8,0.26,5,0,48.43,6.83
Tacapa,Mature,1526.67,285.81,45.8,3.08,47.87,2.92,12.8,0.5,14.87,0.67,0.2,0,4,0.17,8.33,0.58,46.14,3.91
Kinaya,15 DAA,585.67,117.36,34.37,2.31,31.7,2.5,11.47,0.9,9.93,0.76,0.1,0,2.8,0.26,4,0,65.3,0.67
Kinaya,30 DAA,1225,149.56,43.37,1.81,42.7,1.4,13.53,0.81,13.7,1.06,0.53,0.06,4,0.1,9,0,51.94,0.66
Kinaya,Mature,1313,170.54,44.2,2.31,42.73,1.27,13.93,1.4,13.23,0.58,0.67,0.12,3.93,0.25,10,1,43.1,2.91
