cultivar,stage,bio_rep,gene,fold_change
Melona,15,A,CmACS,1
Melona,15,B,CmACS,1
Melona,15,C,CmACS,1
Melona,30,A,CmACS,32.02186655712065
Melona,30,B,CmACS,28.87307783106952
Melona,30,C,CmACS,52.176598867266584
Melona,M,A,CmACS,1482.0850250662158
Melona,M,B,CmACS,20952.92447991603
Melona,M,C,CmACS,26566.425380315297
Melona,15,A,CmACO,1
Melona,15,B,CmACO,1
Melona,15,C,CmACO,1
Melona,30,A,CmACO,2.469293799059362
Melona,30,B,CmACO,4.0266065227680965
Melona,30,C,CmACO,47.196615448184545
Melona,M,A,CmACO,16.682308062791645
Melona,M,B,CmACO,44.571110457314425
Melona,M,C,CmACO,169.8463612086882
Melona,15,A,CmATH,1
Melona,15,B,CmATH,1
Melona,15,C,CmATH,1
Melona,30,A,CmATH,0.6521828910708479
Melona,30,B,CmATH,6.665968499924969
Melona,30,C,CmATH,8.995506400285716
Melona,M,A,CmATH,1.01907942737733
Melona,M,B,CmATH,9.999524547775353
Melona,M,C,CmATH,25.040804358073913
Melona,15,A,CmEREBP,1
Melona,15,B,CmEREBP,1
Melona,15,C,CmEREBP,1
Melona,30,A,CmEREBP,2.058968844719611
Melona,30,B,CmEREBP,4.197945683596441
Melona,30,C,CmEREBP,1.740963552343381
Melona,M,A,CmEREBP,2.753189666056048
Melona,M,B,CmEREBP,6.912339129628041
Melona,M,C,CmEREBP,12.270179932271207
GMP,15,A,CmACS,1
GMP,15,B,CmACS,1
GMP,15,C,CmACS,1
GMP,30,A,CmACS,209.18165149894165
GMP,30,B,CmACS,734.7468711071464
GMP,30,C,CmACS,46.29246561689099
GMP,M,A,CmACS,891.7982139066553
GMP,M,B,CmACS,946.3161915900165
GMP,M,C,CmACS,950.2198272129623
GMP,15,A,CmACO,1
GMP,15,B,CmACO,1
GMP,15,C,CmACO,1
GMP,30,A,CmACO,3.404073057090213
GMP,30,B,CmACO,3.1987394854463926
GMP,30,C,CmACO,12.244033566858642
GMP,M,A,CmACO,6.500375233637386
GMP,M,B,CmACO,14.115971330393903
GMP,M,C,CmACO,13.158662955878087
GMP,15,A,CmATH,1
GMP,15,B,CmATH,1
GMP,15,C,CmATH,1
GMP,30,A,CmATH,3.4404827253780086
