cultivar,well,target,sample,cycle_start,cycle_end,slope,r2,efficiency
gmp,A01,CmACS,G.15.A,30,34,0.29208302198025243,0.9991880979289144,1.9592191721834868
gmp,A02,CmACS,G.30.B,21,25,0.29577121224967573,0.9976583435167197,1.9759284403316941
gmp,A03,CmACS,G.M.C,19,23,0.3135679586533503,0.9992273306009809,2.0585809932922063
gmp,A04,CmACO,G.30.A,18,22,0.2962105571999862,0.9981513566529316,1.9779283585243799
gmp,A05,CmACO,G.M.B,17,21,0.30244938663016707,0.9985126973514683,2.0065472301848666
gmp,A06,CmATH,G.15.C,27,31,0.2787833613979096,0.9981643241956021,1.9001302037798051
gmp,A07,CmATH,G.M.A,23,27,0.28548687433569353,0.9980825129258605,1.9296870144568632
gmp,A08,CmEREBP,G.15.B,21,25,0.32639992007242175,0.9976141136108244,2.120312726517353
gmp,A09,CmEREBP,G.30.C,17,21,0.3122973941743827,0.9976468082687815,2.0525672452345605
gmp,A10,CmCYP,G.15.A,19,23,0.2922917609743115,0.997694548141564,1.9601610762471269
gmp,A11,CmCYP,G.30.B,18,22,0.2853530977701645,0.9978063651503498,1.929092700788526
gmp,A12,CmCYP,G.M.C,18,22,0.2866339682651961,0.9990347731667796,1.9347905978747781
gmp,B01,CmACS,G.15.A,30,34,0.29596070970520877,0.9993852780594707,1.9767907932472013
gmp,B02,CmACS,G.30.B,21,25,0.29739850821595687,0.997832701636184,1.983346107642285
gmp,B03,CmACS,G.M.C,20,24,0.298766277268822,0.9985626997599086,1.9896023135509169
gmp,B04,CmACO,G.30.A,17,21,0.31095187424466114,0.9990356135957639,2.0462178752958007
gmp,B05,CmACO,G.M.B,17,21,0.3040491537022716,0.9985793191178604,2.0139521772434423
gmp,B06,CmATH,G.15.C,26,30,0.29690544326328583,0.9985316142041444,1.9810956449302457
gmp,B07,CmATH,G.M.A,22,26,0.3067433300793078,0.9987549254600058,2.0264847042986434
gmp,B08,CmEREBP,G.15.B,21,25,0.31474016069086624,0.998411995391039,2.0641448040787767
gmp,B09,CmEREBP,G.30.C,17,21,0.3125438893283742,0.9980623946267416,2.053732563951244
gmp,B10,CmCYP,G.15.A,19,23,0.2911735707387216,0.9981611644324456,1.955120685913053
gmp,B11,CmCYP,G.30.B,18,22,0.28579000876928506,0.9984437052139685,1.9310343923285063
gmp,B12,CmCYP,G.M.C,16,20,0.34191929683898264,0.9988296653545231,2.1974514914508347
gmp,C01,CmACS,G.15.B,30,34,0.2810146567023158,0.9998108247195817,1.9099177139627332
gmp,C02,CmACS,G.30.C,24,28,0.28047678084155714,0.9991802375032756,1.907553735642753
gmp,C03,CmACO,G.15.A,22,26,0.28810160050072847,0.9986953141965275,1.941339988923472
gmp,C04,CmACO,G.30.B,19,23,0.29365265838208193,0.998773984054574,1.9663130356787695
gmp,C05,CmACO,G.M.C,18,22,0.29725346069233133,0.9987904749438434,1.9826838118532857
gmp,C06,CmATH,G.30.A,20,24,0.3222241732407097,0.9981593423795984,2.1000235898042185
gmp,C07,CmATH,G.M.B,17,21,0.42169596494945316,0.9988701040832553,2.640559542635317
gmp,C08,CmEREBP,G.15.C,21,25,0.31693406650527595,0.998293198619123,2.0745985332198167
gmp,C09,CmEREBP,G.M.A,17,21,0.27728983882404296,0.9977507726502661,1.893606949709049
gmp,C10,CmCYP,G.15.B,19,23,0.3110917398046854,0.998294405548173,2.0468769707043024
gmp,C11,CmCYP,G.30.C,16,20,0.30191299505547453,0.9993913894246943,2.0040704991009193
gmp,D01,CmACS,G.15.B,31,35,0.3010131154337517,0.9994666415350647,1.9999222651777293
gmp,D02,CmACS,G.30.C,24,28,0.27699948719957324,0.9990134408938794,1.8923413842301193
gmp,D03,CmACO,G.15.A,22,26,0.2931735079484696,0.9986751641201399,1.9641448289922998
gmp,D04,CmACO,G.30.B,19,23,0.30276002550474335,0.9975569308692278,2.0079829715338944
gmp,D05,CmACO,G.M.C,18,22,0.2945890462167984,0.9988857658018963,1.970557201933277
gmp,D06,CmATH,G.30.A,21,25,0.2915403374437983,0.9977315612773675,1.9567725053015865
gmp,D07,CmATH,G.M.B,21,25,0.290158743336032,0.9993726684621024,1.9505574373027708
gmp,D08,CmEREBP,G.15.C,22,26,0.2911509505030932,0.9982273368430483,1.955018856070118
gmp,D09,CmEREBP,G.M.A,15,19,0.31798350763102584,0.9983814764083694,2.0796177119490498
gmp,D10,CmCYP,G.15.B,21,25,0.2726311026192293,0.9975223928903083,1.8734025309363982
gmp,D11,CmCYP,G.30.C,17,21,0.2978280748310664,0.9987864353181437,1.985308832937459
gmp,E01,CmACS,G.15.C,30,34,0.28810013858548095,0.9987807132194083,1.9413334540263643
gmp,E02,CmACS,G.M.A,19,23,0.30922285311983855,0.9987516330112691,2.0380876301903412
gmp,E03,CmACO,G.15.B,23,27,0.30531263046629925,0.9979392468284005,2.019819824442733
gmp,E04,CmACO,G.30.C,17,21,0.2948003335871096,0.9984700738841532,1.9715161253425908
gmp,E05,CmATH,G.15.A,25,29,0.29991198344378917,0.9989956015229229,1.9948579848874575
gmp,E06,CmATH,G.30.B,22,26,0.30796739277867985,0.9979634218789831,2.0322044254673908
gmp,E07,CmATH,G.M.C,22,26,0.2866349851726941,0.9987173081108576,1.9347951282233122
gmp,E08,CmEREBP,G.30.A,17,21,0.30398128014693565,0.9989197507532723,2.013637452053037
gmp,E09,CmEREBP,G.M.B,15,19,0.3148104031417951,0.9991961552368007,2.0644786842502207
gmp,E10,CmCYP,G.15.C,18,22,0.30198158389166263,0.9984975525795412,2.0043870302194695
gmp,E11,CmCYP,G.M.A,17,21,0.2939756549280067,0.9988323101639702,1.967775979784362
gmp,F01,CmACS,G.15.C,31,35,0.28529669847193134,0.9986549581921815,1.9288421970063856
gmp,F02,CmACS,G.M.A,20,24,0.2869572140150627,0.9982905173480568,1.9362312002059665
gmp,F03,CmACO,G.15.B,23,27,0.2985914183031162,0.9986237800395061,1.9888014058959356
gmp,F04,CmACO,G.30.C,16,20,0.3174032515038249,0.9986578690260218,2.076841012745886
gmp,F05,CmATH,G.15.A,25,29,0.2969734341639233,0.998751763260593,1.9814058193096207
gmp,F06,CmATH,G.30.B,21,25,0.32673792867291623,0.9982202290147791,2.1219635946144453
gmp,F07,CmATH,G.M.C,22,26,0.30075789746291126,0.9973361321693843,1.9987473339337212
gmp,F08,CmEREBP,G.30.A,17,21,0.3080776487566102,0.9985497896498275,2.032720414363977
gmp,F09,CmEREBP,G.M.B,15,19,0.316942407301984,0.9988571180438333,2.0746383770849857
gmp,F10,CmCYP,G.15.C,18,22,0.31315906030722396,0.9975380680553005,2.056643703597876
gmp,F11,CmCYP,G.M.A,18,22,0.2810341523270911,0.9985749971885232,1.910003452733116
gmp,G01,CmACS,G.30.A,20,24,0.30695769565234965,0.9989686534073446,2.027485213864352
gmp,G02,CmACS,G.M.B,21,25,0.28265623067942036,0.9985768372075666,1.9171506037885115
gmp,G03,CmACO,G.15.C,22,26,0.2986976996208086,0.9984786980010766,1.9892881684699144
gmp,G04,CmACO,G.M.A,11,18,0.4052520204800567,0.9990804696879463,2.5424476563688216
gmp,G05,CmATH,G.15.B,25,29,0.3169033187169717,0.9989618788030735,2.0744516580899117
gmp,G06,CmATH,G.30.C,19,23,0.3251315017029736,0.9984987505080107,2.114129088239611
gmp,G07,CmEREBP,G.15.A,22,26,0.28912735253808125,0.998006657134433,1.9459306227701043
gmp,G08,CmEREBP,G.30.B,17,21,0.30749465877887305,0.9987926640261158,2.029993553594666
gmp,G09,CmEREBP,G.M.C,15,19,0.32334215355619855,0.9982664407807588,2.1054365287542507
gmp,G10,CmCYP,G.30.A,17,21,0.2936064250753561,0.9981859501421624,1.9661037207582739
gmp,G11,CmCYP,G.M.B,17,21,0.30180778177451056,0.9991988064199592,2.003585046712671
gmp,H01,CmACS,G.30.A,21,25,0.28902367084398584,0.997136674610793,1.945466114675906
gmp,H02,CmACS,G.M.B,20,24,0.3057386001470007,0.9987155903046917,2.0218018991049886
gmp,H03,CmACO,G.15.C,22,26,0.29051645560254424,0.9988853919575464,1.9521647009923913
gmp,H04,CmACO,G.M.A,18,22,0.29230604508715347,0.9981283745675239,1.9602255477604087
