traits,cultivar,comparison,diff,lwr,upr,p adj
firmness,Melona,30 DAA-15 DAA,-7.023333333333323,-12.14988578583976,-1.896780880826884,0.013381183888674708
firmness,Melona,Mature-15 DAA,-4.396666666666661,-9.523219119173099,0.7298857858397776,0.08637181819479589
firmness,Melona,Mature-30 DAA,2.6266666666666616,-2.499885785839777,7.7532191191731,0.32660410635795667
firmness,GMP,30 DAA-15 DAA,-4.393333333333331,-10.4467484005997,1.6600817339330387,0.14465320333837672
firmness,GMP,Mature-15 DAA,-7.073333333333331,-13.1267484005997,-1.019918266066961,0.026871627556972366
firmness,GMP,Mature-30 DAA,-2.6799999999999997,-8.73341506726637,3.37341506726637,0.4176314467915764
firmness,Tacapa,30 DAA-15 DAA,-10.22999999999999,-21.745057663799436,1.2850576637994582,0.07664675842044322
firmness,Tacapa,Mature-15 DAA,-12.519999999999996,-24.035057663799442,-1.004942336200548,0.036101926535249684
firmness,Tacapa,Mature-30 DAA,-2.2900000000000063,-13.805057663799454,9.225057663799442,0.8200661361965085
firmness,Kinaya,30 DAA-15 DAA,-13.363333333333323,-17.78378663403358,-8.942880032633067,2.1841841545111595e-4
firmness,Kinaya,Mature-15 DAA,-22.20333333333332,-26.623786634033575,-17.782880032633063,1.124678875696894e-5
firmness,Kinaya,Mature-30 DAA,-8.839999999999996,-13.260453300700252,-4.419546699299739,0.002079509681849556
flesh_thickness,Melona,30 DAA-15 DAA,0.9333333333333336,0.14110828187814217,1.725558384788525,0.02596078636423571
flesh_thickness,Melona,Mature-15 DAA,1.2000000000000002,0.4077749485448088,1.9922250514551916,0.008371649641006229
flesh_thickness,Melona,Mature-30 DAA,0.2666666666666666,-0.5255583847885248,1.058891718121858,0.5851982123778579
flesh_thickness,GMP,30 DAA-15 DAA,0.06666666666666665,-0.1542743441904867,0.28760767752382,0.6453214345397756
flesh_thickness,GMP,Mature-15 DAA,0.30000000000000004,0.0790589891428467,0.5209410108571534,0.013935920171897265
flesh_thickness,GMP,Mature-30 DAA,0.2333333333333334,0.012392322476180051,0.45427434419048673,0.04051870037456773
flesh_thickness,Tacapa,30 DAA-15 DAA,0.7999999999999998,0.32028390848735655,1.279716091512643,0.005244721950186437
flesh_thickness,Tacapa,Mature-15 DAA,0.9999999999999996,0.5202839084873563,1.4797160915126428,0.0016719745704879552
flesh_thickness,Tacapa,Mature-30 DAA,0.19999999999999973,-0.27971609151264354,0.679716091512643,0.4554965064183588
flesh_thickness,Kinaya,30 DAA-15 DAA,1.1999999999999993,0.6524023893954128,1.7475976106045858,0.0012821758962032748
flesh_thickness,Kinaya,Mature-15 DAA,1.1333333333333333,0.5857357227287469,1.6809309439379199,0.00173655838924891
flesh_thickness,Kinaya,Mature-30 DAA,-0.06666666666666599,-0.6142642772712524,0.48093094393792046,0.9268800444591621
fruit_weight,Melona,30 DAA-15 DAA,411.66666666666663,132.318232729157,691.0151006041763,0.009537383527172816
fruit_weight,Melona,Mature-15 DAA,673.3333333333334,393.98489939582373,952.681767270843,7.670170894312767e-4
fruit_weight,Melona,Mature-30 DAA,261.66666666666674,-17.681767270842897,541.0151006041764,0.0636264716457976
fruit_weight,GMP,30 DAA-15 DAA,6.000000000000028,-22.26959752587659,34.26959752587665,0.7985902539225018
fruit_weight,GMP,Mature-15 DAA,22.333333333333343,-5.936264192543277,50.60293085920996,0.11246905338510016
fruit_weight,GMP,Mature-30 DAA,16.333333333333314,-11.936264192543305,44.602930859209934,0.25622840926774026
fruit_weight,Tacapa,30 DAA-15 DAA,214.0000000000001,-223.03258499207584,651.0325849920761,0.3544415178763821
fruit_weight,Tacapa,Mature-15 DAA,948.3333333333335,511.30074834125753,1385.3659183254094,0.0013512780660559498
fruit_weight,Tacapa,Mature-30 DAA,734.3333333333334,297.3007483412574,1171.3659183254094,0.005052446869871163
fruit_weight,Kinaya,30 DAA-15 DAA,639.3333333333333,269.931176521964,1008.7354901447025,0.004359486332038087
fruit_weight,Kinaya,Mature-15 DAA,727.3333333333333,357.931176521964,1096.7354901447025,0.0022551597154828462
fruit_weight,Kinaya,Mature-30 DAA,88,-281.40215681136925,457.40215681136925,0.7553214025528392
h_diameter,Melona,30 DAA-15 DAA,2.333333333333334,0.6673569036048883,3.9993097630617793,0.012091790070961284
h_diameter,Melona,Mature-15 DAA,3.0000000000000018,1.3340235702715562,4.665976429728447,0.0035692027217288924
h_diameter,Melona,Mature-30 DAA,0.6666666666666679,-0.9993097630617778,2.3326430963951132,0.4811659724154166
h_diameter,GMP,30 DAA-15 DAA,0.0333333333333341,-0.5915822147438798,0.658248881410548,0.9853775553588874
h_diameter,GMP,Mature-15 DAA,0.3000000000000007,-0.32491554807721323,0.9249155480772147,0.3667529640353999
h_diameter,GMP,Mature-30 DAA,0.2666666666666666,-0.35824888141054734,0.8915822147438806,0.4408544637480254
h_diameter,Tacapa,30 DAA-15 DAA,1.633333333333331,-0.1361663415175962,3.4028330081842584,0.06705304922311106
h_diameter,Tacapa,Mature-15 DAA,4.399999999999997,2.6305003251490695,6.169499674850924,6.471273344963446e-4
h_diameter,Tacapa,Mature-30 DAA,2.7666666666666657,0.9971669918157384,4.536166341517593,0.007189000240129806
h_diameter,Kinaya,30 DAA-15 DAA,3.7666666666666675,1.7075587596428115,5.8257745736905235,0.003294964012788393
h_diameter,Kinaya,Mature-15 DAA,3.3000000000000007,1.2408920929761447,5.359107907023857,0.006376472175419257
h_diameter,Kinaya,Mature-30 DAA,-0.4666666666666668,-2.525774573690523,1.5924412403571893,0.7748348249968569
h_perimeter,Melona,30 DAA-15 DAA,7.466666666666669,5.044938937358916,9.888394395974421,1.9544960950756973e-4
h_perimeter,Melona,Mature-15 DAA,10.266666666666666,7.844938937358913,12.688394395974418,3.128069205549089e-5
h_perimeter,Melona,Mature-30 DAA,2.799999999999997,0.37827227069224456,5.22172772930775,0.028084978332035715
h_perimeter,GMP,30 DAA-15 DAA,0.5000000000000071,-0.6510763132781558,1.65107631327817,0.4296458870744222
h_perimeter,GMP,Mature-15 DAA,0.4333333333333407,-0.7177429799448223,1.5844096466115036,0.5188534588962637
h_perimeter,GMP,Mature-30 DAA,-0.06666666666666643,-1.2177429799448294,1.0844096466114965,0.9827912611855217
h_perimeter,Tacapa,30 DAA-15 DAA,3.433333333333323,-1.992107013586387,8.858773680253034,0.20765786799515185
h_perimeter,Tacapa,Mature-15 DAA,13.333333333333329,7.907892986413619,18.75877368025304,6.900452987310679e-4
h_perimeter,Tacapa,Mature-30 DAA,9.900000000000006,4.474559653080296,15.325440346919716,0.003336910596819065
h_perimeter,Kinaya,30 DAA-15 DAA,11.000000000000007,6.4712866862129275,15.528713313787087,7.355948444656146e-4
h_perimeter,Kinaya,Mature-15 DAA,11.033333333333339,6.504620019546259,15.562046647120418,7.235550800063217e-4
h_perimeter,Kinaya,Mature-30 DAA,0.03333333333333144,-4.495379980453748,4.562046647120411,0.9997188585009635
ssc,Melona,30 DAA-15 DAA,0.6666666666666634,-0.51431271235472,1.8476460456880468,0.26935046437782983
